FSC-A,SSC-A,Zombie-Violet-A,Alexa Fluor 647-A
116258,31408,350,116
84700,40491,16299,463
71959,26718,39982,168
152658,50682,2813,51
96248,60495,529,76
116529,31406,2907,163
50739,45387,11630,95
102897,46122,22509,656
110365,25175,372,242
135699,78057,308,92
98733,43781,686,70
137570,39317,1410,120
92930,42471,610,155
77751,48926,13658,107
125097,40525,9369,4398
144143,92804,13752,239
87834,41874,760,883
84481,47371,1198,453
92819,25127,30253,564
107178,70868,6024,100
75462,24322,538,116
159950,58904,643,488
163737,34183,215,77
81286,43925,255,179
105916,60840,920,393
96802,44053,34435,116
177452,40522,1305,56
109602,61086,250,98
102583,34585,61517,84
151209,55154,2277,355
146321,26421,2780,40
267682,45849,757,408
166996,32454,29964,317
103151,66759,5372,87
127340,35140,394,157
83176,59089,1352,623
104682,13967,1680,54
98412,31006,3676,270
56277,41328,367,324
106730,18689,6225,51
88639,28405,419,51
133051,25817,2793,127
145291,53776,347,191
155986,38668,959,61
147156,41370,171,6754
92410,127697,1140,61
93526,26617,1976,165
98595,55383,483,293
101608,26371,439,182
105851,47204,1044,233
66344,68469,316,280
115040,57343,429,154
103884,26669,2429,40
103158,32396,8661,243
84521,45737,65,113
99126,47287,305,74
86753,62022,150,70
93508,19507,339,133
103605,43310,361,103
101942,101869,7624,106
142750,46477,1199,269
109179,112131,426,119
128439,54292,2018,216
112300,39732,703,275
160640,19826,1182,531
137349,26863,3287,79
92639,41945,1090,498
103148,90654,327,117
109159,22797,187,246
132232,69932,612,365
126199,52144,2154,327
79704,49872,214,236
107762,57709,708,40
78279,80780,541,253
114218,28726,1106,119
153816,40625,1087,242
117118,29023,491,90
110550,34221,1482,342
99412,24594,2229,251
73886,22364,411,198
88402,58187,563,231
91948,34623,7295,195
133607,51848,800,372
120154,67829,19164,221
67444,31074,1261,188
129871,30161,12382,270
85644,37582,34427,228
74675,82211,431,36
62184,70484,918,101
76380,50379,1185,287
86575,58467,638,99
80638,55761,583,87
120784,30358,10378,96
121307,48563,659,229
81989,41604,285,179
95823,56839,13327,229
113039,88494,22944,273
129102,19367,281,118
117945,24968,2778,2649
107201,32279,494,65
73718,28066,888,320
76356,76367,1043,264
160391,49722,1006,4244
72876,45509,1716,84
87535,26814,91,390
75923,37678,2855,51
59999,52698,196,76
162455,55282,41348,428
102846,59688,79,108
119926,37541,183,613
92766,65930,802,133
137117,33481,15811,170
139806,62103,424,168
75767,37064,608,169
93132,47271,1161,91
106886,46127,1408,90
61673,41893,87,147
85636,29349,1076,190
108890,58703,508,282
125273,51911,20027,682
81846,37674,1054,326
102131,36563,253,127
91359,39307,753,178
87035,42897,388,113
115722,39572,443,129
121994,32190,22881,123
57591,37085,860,834
102198,107323,26457,226
86004,30634,33652,58
111836,53127,24186,97
75697,26537,3732,56
135624,22879,3713,76
105115,75704,341,177
142268,21255,9064,93
102471,34482,1260,717
88157,61099,1139,176
91883,39189,582,61
73230,21311,1071,172
102154,23242,1664,149
102910,67920,1743,87
69352,36392,1233,152
100495,49073,39886,1799
91476,34360,6107,166
77125,31076,19865,211
92115,34890,1282,1747
128941,27275,186,56
148978,73048,664,506
63505,57872,126,628
109126,27946,23738,152
144807,18816,2724,113
112648,19803,1317,127
73377,34121,377,42
115213,48241,938,89
109889,57898,19707,108
59411,54644,359,49
87256,24882,20328,748
91465,17039,402,303
90246,41963,307,207
92325,32311,3344,61
150966,33653,1204,239
138843,37615,357,80
97727,76150,376,126
91046,38979,4257,262
102913,30793,172,153
65817,17731,1523,169
42803,44386,340,127
97044,24069,428,69
74457,79328,595,223
134677,32559,576,167
81065,39045,832,176
82489,41700,13290,117
145107,46524,1868,71
93694,36696,44321,69
164100,36846,623,349
110589,49467,164,940
93081,39301,14144,63
85505,50384,24986,93
67855,25336,6818,124
91137,22483,12672,110
98006,31872,17127,130
107574,61021,1728,111
68343,53170,632,83
64518,19515,28540,79
63537,66229,1502,374
116784,51945,647,287
85723,50560,16445,1151
114280,43261,752,116
156637,47963,252,177
57656,70996,1356,329
166446,34884,5738,184
60986,32362,503,165
117453,42426,263,3549
77391,39185,401,277
109562,52552,473,209
99534,48411,2467,59
142282,35704,11867,392
72848,31397,7055,76
106632,42517,684,108
159599,31350,640,103
112508,79354,278,67
66880,41661,74944,94
57936,40920,362,97
101356,53979,441,74
98614,53997,1249,5783
146578,27185,66178,3786
43226,65378,917,249
107168,72966,3284,31
121803,49624,10701,103
84110,27223,503,117
197478,35798,386,132
143457,23182,10854,102
88043,65802,822,93
100013,31307,1890,211
120589,21909,1734,87
93700,34590,9381,180
94608,22767,442,220
101702,44190,222,868
127049,68827,281,368
92733,22479,490,480
60036,61576,2189,295
198600,38617,5885,230
74522,32167,13313,3454
80701,55075,705,69
101225,46781,503,277
135941,51233,294,80
119888,24653,888,41
76566,38020,133,6529
114098,40010,17440,1100
153392,47225,495,152
97819,21962,233,119
116620,31306,372,344
106542,27560,174,165
149737,36693,569,229
104428,37503,686,163
103788,61026,13624,114
87387,57662,254,90
51559,50167,483,205
120304,23736,194,87
131613,23023,682,438
105761,39850,938,110
139425,42932,806,115
163167,42045,27926,106
66675,70512,410,146
85510,18251,667,151
194532,36906,1378,131
100599,29875,1243,133
61420,48141,788,54
121717,59114,514,363
73460,29555,733,4301
78841,29296,198,661
99878,52762,526,67
79043,22472,13594,211
102280,38165,708,404
85287,34377,1179,202
128828,43645,2102,288
134423,52788,425,78
73196,14941,454,175
73936,44906,410,164
155229,34852,490,242
42189,26837,36196,3605
66724,94711,540,92
98990,22333,6716,93
115128,36200,717,196
98900,37211,26025,249
101349,51323,189,1712
103695,21512,548,60
121966,31932,428,146
94037,56427,14391,400
162463,39731,109,242
169909,80406,833,135
84957,69375,288,189
92321,24636,20879,441
126500,66592,16326,39
184194,26185,101,2565
155927,38836,2055,58
132052,40263,1818,218
82386,55905,535,184
91898,24364,1237,152
98704,47437,729,389
135197,46448,389,174
64040,52028,906,22
78363,70160,360,330
87211,61995,243,810
106361,50682,5975,199
109590,30739,363,79
84198,18597,745,178
134687,42343,3984,181
72898,61880,400,576
106301,37434,1393,223
83527,25669,574,108
63440,45194,507,212
110178,40977,1440,279
65538,26129,585,96
124600,28924,1813,171
69332,15061,2390,135
139772,59419,830,118
90407,47778,919,372
103086,29121,169,114
112040,65665,1755,101
75906,37033,1088,172
110217,12912,546,352
106640,26923,470,266
82070,13765,1473,237
92674,18269,451,385
57469,35839,178,70
68870,19798,366,64
125201,122730,1303,47
109860,35574,248,209
121465,59390,20702,100
137105,17484,250,68
75213,45632,363,2922
107404,43756,1094,240
96445,46698,6912,269
106369,41199,3646,51
127882,60314,27220,2357
107679,38006,501,522
105470,52267,524,190
73440,40976,1511,79
86680,80820,2692,100
198501,35796,746,198
65313,51699,511,136
116081,43037,546,220
68651,39983,28103,62
154345,46080,1210,94
141686,52364,309,146
101507,21537,944,240
150243,23976,1167,124
89576,32620,14763,195
129681,73923,423,153
131363,39179,19363,113
99019,41905,430,75
97385,33212,1263,1301
89213,156558,67,352
86686,36481,609,280
107557,52938,13558,127
164275,29422,13015,143
85333,49810,561,145
95053,19186,327,361
117845,25113,5635,92
76852,54742,3024,71
89623,116118,352,234
91900,58629,9922,217
114053,57878,2887,128
131374,31931,131,642
117212,48067,14361,111
105284,56931,465,156
136047,34120,790,311
130017,29418,2206,232
