FSC-A,SSC-A,Zombie-Violet-A,Alexa Fluor 647-A
91778,59188,882,207
89363,43998,896,194
56611,32001,1705,70
108471,28645,1598,172
128307,36269,547,6935
82542,39450,244,385
136063,57801,206,2608
119448,35023,7777,135
137351,19062,1402,94
93077,47414,896,236
90279,92243,5214,312
117162,24103,12115,253
119756,75221,364,86
124744,50990,335,2707
75320,28355,33529,228
92459,24163,13111,2426
150135,73054,519,1318
95845,78423,646,7718
95006,52055,554,125
133939,53448,7131,2719
84883,24397,1936,91
98299,16928,840,2150
151594,74093,646,259
109202,29636,2859,56
121101,54489,709,10151
97780,58904,518,4742
103151,79335,197,75
124865,82871,358,274
84712,30099,152,102
199465,43368,313,64
96992,32676,475,147
143199,31527,5307,107
101603,47050,439,3039
77999,33280,24879,3737
139281,34200,655,189
123067,74078,489,11697
77282,55467,1908,2992
113552,61299,12356,13857
85088,34324,17529,124
73221,24450,63735,7848
107039,46122,449,390
78951,24812,303,6569
115193,22169,11657,101
117449,35534,996,210
105599,36068,1222,435
129807,87041,1722,3479
64873,22299,598,268
91983,51665,183,3309
107863,38699,4217,908
134395,22449,367,5808
131834,29125,8347,272
129824,47345,441,141
111664,26762,249,4203
62741,45702,839,75
113593,27236,739,389
116336,54665,634,7782
74745,35392,489,86
73919,38636,463,5205
93043,25326,690,84
71282,42283,6418,4524
92568,34176,514,79
125105,29085,858,238
96535,23807,26628,197
121344,22183,1550,88
61910,46461,905,162
91963,25061,1112,4079
99291,42410,738,10208
151116,36773,342,2616
101949,26950,5330,106
106584,38717,538,221
38220,64220,1810,296
56371,53379,1214,3843
87489,48915,319,136
69509,44186,475,37
186069,33841,22474,6746
105249,30032,121,32
119086,49522,27539,3541
86955,50564,80,17654
108685,55255,63645,147
85497,39940,20436,5945
98407,101584,433,2309
87581,35910,1396,8509
121937,21024,477,56
80368,27065,1217,3053
102546,36824,19259,123
77075,39313,95,84
97625,55360,22464,274
80197,94504,41207,97
96274,29044,12487,501
132438,125744,327,4026
106741,56767,717,3577
127024,36684,149,269
94380,27472,1426,225
78377,42764,18756,289
108362,30043,210,650
161824,23581,374,118
67188,28188,502,6896
71545,30930,31691,187
102212,58269,257,4039
76578,62739,847,196
108932,26453,963,102
104750,33834,35348,521
94990,74797,972,1099
89916,29589,10962,160
163031,56733,970,78
39178,21009,5038,141
123989,52801,501,4522
108137,25744,2200,118
98715,23828,762,9456
93512,35719,130,215
129623,47312,1306,115
76410,41099,1008,9020
110036,56701,1846,119
90482,40315,25798,2985
89850,13381,787,305
183277,78135,949,37
103934,59469,1729,139
148990,27417,725,1894
120874,18973,1218,131
130367,41072,112,58
128625,39702,865,52
92511,42833,345,8768
113728,39756,1131,165
87666,44602,78846,44
166788,34696,1942,243
171424,58786,1868,27
164264,44081,291,1871
143661,29195,6315,45
118478,49937,633,191
171562,52345,763,7668
106232,52986,543,156
99836,33905,765,44
91414,53096,230,1546
71861,61978,256,331
78303,38344,22782,4379
132861,53925,2597,104
113244,40123,989,8639
101547,52778,981,2020
113590,39616,467,2611
86242,33144,362,168
94128,39431,664,4390
97468,54618,447,101
98837,41699,2347,1065
98254,45609,983,150
136538,32120,1086,163
94429,26909,306,2828
78369,60897,700,117
247178,33989,453,2696
100244,66126,292,2897
104995,33120,182,4702
104336,21578,1956,2579
121855,59985,5432,50
93929,95403,2155,228
95851,27523,944,10868
134070,30246,2203,2148
150113,40606,1912,217
97570,28204,270,6946
108690,64567,12755,280
83515,54003,1771,171
123946,52229,1546,13459
77145,21591,410,259
138098,51061,546,10332
101942,29019,31257,280
93471,40556,31558,219
127811,34438,670,2393
118665,71529,556,1477
88483,95865,395,2413
163661,13287,1202,5073
126322,26904,1426,148
103305,43728,311,3215
136938,35494,1004,142
90939,74086,247,251
81447,54965,823,310
122702,32118,4279,338
81666,26299,962,271
145986,36021,140,8809
128924,25547,896,78
117721,15877,1787,27
78083,29225,418,203
85314,43345,496,161
98307,44334,3639,79
94845,59995,730,233
64661,26405,844,4031
83736,25849,32880,3543
110148,31127,702,173
